date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:10:48	67/67	---M--	200	added ('OK')	text/plain	date:Thu,%2024%20Apr%202025%2021:10:45%20GMT	http://www.neotekauto.com/robots.txt		(from )
14:10:49	34523/34523	---M--	200	added ('OK')	text/html	date:Thu,%2024%20Apr%202025%2021:10:46%20GMT	http://www.neotekauto.com/	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/index.html	(from )
14:10:51	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2024%20Apr%202025%2021:10:48%20GMT	http://www.neotekauto.com/xmlrpc.php	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/xmlrpc.0.delayed	(from http://www.neotekauto.com/)
14:10:51	15086/15086	---M--	200	added ('OK')	image/x-icon	etag:%22802dabfe6f1ed21:0%22	http://www.neotekauto.com/wp-content/uploads/2016/07/favicon.ico	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/uploads/2016/07/favicon.ico	(from http://www.neotekauto.com/)
14:10:52	15709/15709	---M--	200	added ('OK')	text/css	etag:%220862fb701ed21:0%22	http://www.neotekauto.com/wp-content/plugins/LayerSlider/static/css/layerslider.css?ver=5.6.7	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/plugins/LayerSlider/static/css/layerslider3bea.css	(from http://www.neotekauto.com/)
14:10:52	1270/1270	---M--	200	added ('OK')	text/css	etag:%220af7b53fc1fd21:0%22	http://www.neotekauto.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.5.1	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/plugins/contact-form-7/includes/css/styles8686.css	(from http://www.neotekauto.com/)
14:10:53	1328/1328	---M--	200	added ('OK')	application/rss+xml	etag:%224c407ba3377487ec608543787a3d92c8%22	http://www.neotekauto.com/feed/	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/feed/index.html	(from http://www.neotekauto.com/)
14:10:53	2078/2078	---M--	200	added ('OK')	text/css	etag:%228017b821ff1fd21:0%22	http://www.neotekauto.com/wp-content/plugins/ultimate-form-builder-lite/css/jquery.selectbox.css?ver=1.2.6	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/plugins/ultimate-form-builder-lite/css/jquery.selectbox578f.css	(from http://www.neotekauto.com/)
14:10:54	717/717	---M--	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d%22	http://www.neotekauto.com/comments/feed/	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/comments/feed/index.html	(from http://www.neotekauto.com/)
14:10:55	42371/42371	---M--	200	added ('OK')	text/css	etag:%228017b821ff1fd21:0%22	http://www.neotekauto.com/wp-content/plugins/ultimate-form-builder-lite/css/frontend.css?ver=1.2.6	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/plugins/ultimate-form-builder-lite/css/frontend578f.css	(from http://www.neotekauto.com/)
14:10:55	1233/1233	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/icons.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/icons67d0.css	(from http://www.neotekauto.com/)
14:10:56	4125/4125	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/reset.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/reset67d0.css	(from http://www.neotekauto.com/)
14:10:56	10839/10839	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/grid.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/grid67d0.css	(from http://www.neotekauto.com/)
14:10:58	94894/94894	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/style.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/style67d0.css	(from http://www.neotekauto.com/)
14:11:00	3661/3661	---M--	200	added ('OK')	text/css	etag:%22099924e194cd31:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/header.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/header67d0.css	(from http://www.neotekauto.com/)
14:11:02	63677/63677	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/widgets.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/widgets67d0.css	(from http://www.neotekauto.com/)
14:11:02	71463/71463	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/portfolio.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/portfolio67d0.css	(from http://www.neotekauto.com/)
14:11:04	78192/78192	---M--	200	added ('OK')	text/css	etag:%2280f4ff771a4cd31:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/custom.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/custom67d0.css	(from http://www.neotekauto.com/)
14:11:08	456194/456194	---M--	200	added ('OK')	text/css	etag:%2207884701ed21:0%22	http://www.neotekauto.com/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=4.12	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/plugins/js_composer/assets/css/js_composer.min0147.css	(from http://www.neotekauto.com/)
14:11:10	4388/4388	---M--	200	added ('OK')	text/css	etag:%220e34df96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/js/fancyBox/jquery.fancybox.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/js/fancyBox/jquery.fancybox67d0.css	(from http://www.neotekauto.com/)
14:11:10	2718/2718	---M--	200	added ('OK')	text/css	etag:%228079e6f96f1ed21:0%22	http://www.neotekauto.com/wp-content/themes/scalia/css/vc_elements.css?ver=4.5.4	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-content/themes/scalia/css/vc_elements67d0.css	(from http://www.neotekauto.com/)
14:11:12	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/neotekauto/www.google-analytics.com/analytics.js	(from http://www.neotekauto.com/)
14:11:14	10056/10056	---M--	200	added ('OK')	application/javascript	etag:%224daacdf46f1ed21:0%22	http://www.neotekauto.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	C:/My%20Web%20Sites/neotekauto/www.neotekauto.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://www.neotekauto.com/)
